name,year,status,type,country,genres,rating,watched_date,note
A Beautiful Mind,2001.0,waiting,movie,US,"biography,mystery",,,
The Big Short,2015.0,waiting,movie,US,"dark comedy,biography,history,finance",,,
Memento,2000.0,waiting,movie,US,"mystery,thriller",,,
Catch Me if You Can,2002.0,waiting,movie,US,"crime,biography",,,
Us and Them,2018.0,waiting,movie,China,romance,,,
Hugo,2011.0,waiting,movie,US,"adventure,family,mystery,fantasy",,,
Breaking Bad,2008.0,waiting,series,US,"dark comedy,thriller,crime,epic",,,
Dark,2017.0,waiting,series,US,"epic,time travel,crime,sci-fi,mystery,thriller",,,
Arrival,2016.0,waiting,movie,US,"epic,sci-fi,mystery",,,
Coco,2017.0,waiting,movie,US,"animation,dark comedy,adventure,music,family",,,
Severance,2022.0,waiting,series,US,"sci-fi,mystery",,,
Lucy,2014.0,waiting,movie,US,"action,sci-fi",,,
Succession,2018.0,waiting,series,US,"dark comedy,epic,finance",,,
The White Lotus,2021.0,waiting,series,US,dark comedy,,,
Se7en,1995.0,waiting,movie,US,"crime,mystery",,,
The Truman Show,1998.0,waiting,movie,US,dark comedy,,,
Industry,2020.0,waiting,series,US,finance,,,
Margin Call,2011.0,waiting,movie,US,"thriller,finance",,,
Boyhood,2014.0,waiting,movie,US,epic,,,
Spirited Away,2001.0,waiting,movie,Japan,"animation,adventure,fantasy",,,
Made in Abyss,2017.0,waiting,series,Japan,"animation,action,horror",,,
Vinland Saga,2019.0,waiting,series,Japan,"animation,action,adventure",,,
The Legend of Hei,2019.0,waiting,movie,China,"animation,adventure,action,fantasy",,,
Nichijou,2011.0,waiting,series,Japan,"animation,comedy",,,
When life gives you tangerines,2025.0,waiting,series,Korea,"life,romance",,,
Way Back Love,2025.0,completed,series,Korea,"romance,fantasy,melodrama",9.0,2025-09-24,
Takopi's Original Sin,2025.0,waiting,series,Japan,"animation,sci-fi",,,
The Trauma Code: Heroes on Call,2025.0,waiting,series,Korea,"hospital,action,comedy",,,
Steins;Gate,2011.0,waiting,series,Japan,"animation,sci-fi,time travel",,,
Reply 1988,2015.0,waiting,series,Korea,"life,romance,comedy",,,
Move to Heaven,2021.0,waiting,series,Korea,"life,death",,,
2521,2022.0,waiting,series,Korea,"life,romance,friendship",,,
